STATE/UT,YEAR,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Andhra Pradesh,2001,Road Accidents,2239,3265,3198,3729,3604,3792,4098,3263,3265,3198,3729,3604,40984
Andhra Pradesh,2001,Rail-Road Accidents,102,76,63,76,49,151,70,36,76,63,76,49,887
Andhra Pradesh,2001,Other Railway Accidents,92,93,108,119,92,83,46,41,93,108,119,92,1086
Andhra Pradesh,2002,Road Accidents,2931,3857,3671,4255,4153,4778,4844,4088,3857,3671,4255,4153,48513
Andhra Pradesh,2002,Rail-Road Accidents,1,0,2,0,0,1,0,0,0,2,0,0,6
Andhra Pradesh,2002,Other Railway Accidents,101,151,279,257,142,82,105,68,151,279,257,142,2014
Andhra Pradesh,2003,Road Accidents,3158,4865,3749,4319,4266,4853,5218,4109,4865,3749,4319,4266,51736
Andhra Pradesh,2003,Rail-Road Accidents,19,36,72,55,42,22,18,27,36,72,55,42,496
Andhra Pradesh,2003,Other Railway Accidents,33,48,91,94,98,52,40,34,48,91,94,98,821
Andhra Pradesh,2004,Road Accidents,3191,4770,4598,5030,4033,4971,6031,4454,4770,4598,5030,4033,55509
Andhra Pradesh,2004,Rail-Road Accidents,16,13,15,14,19,16,13,13,13,15,14,19,180
Andhra Pradesh,2004,Other Railway Accidents,68,113,166,118,109,129,144,145,113,166,118,109,1498
Andhra Pradesh,2005,Road Accidents,3826,6011,5002,4137,4261,4524,5096,4432,6011,5002,4137,4261,56700
Andhra Pradesh,2005,Rail-Road Accidents,0,0,1,1,0,0,1,3,0,1,1,0,8
Andhra Pradesh,2005,Other Railway Accidents,287,233,89,105,117,131,206,222,233,89,105,117,1934
Andhra Pradesh,2006,Road Accidents,3635,5525,4270,5108,4918,6101,6757,5009,5525,4270,5108,4918,61144
Andhra Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Other Railway Accidents,164,223,299,318,268,271,201,214,223,299,318,268,3066
Andhra Pradesh,2007,Road Accidents,4054,4890,4748,5826,5547,6236,6719,5574,4890,4748,5826,5547,64605
Andhra Pradesh,2007,Rail-Road Accidents,0,0,0,0,1,2,0,0,0,0,0,1,4
Andhra Pradesh,2007,Other Railway Accidents,171,229,331,334,270,296,212,231,229,331,334,270,3238
Andhra Pradesh,2008,Road Accidents,4051,4492,4532,5558,5620,6045,6453,5355,4492,4532,5558,5620,62308
Andhra Pradesh,2008,Rail-Road Accidents,0,1,1,2,4,0,2,1,1,1,2,4,19
Andhra Pradesh,2008,Other Railway Accidents,170,275,320,298,273,229,214,166,275,320,298,273,3111
Andhra Pradesh,2009,Road Accidents,3718,4433,4569,5332,5320,6154,6302,6183,4433,4569,5332,5320,61665
Andhra Pradesh,2009,Rail-Road Accidents,1,0,1,0,0,1,1,0,0,1,0,0,5
Andhra Pradesh,2009,Other Railway Accidents,61,77,306,431,224,124,102,77,77,306,431,224,2440
Andhra Pradesh,2010,Road Accidents,3822,5347,5553,5438,5176,5548,6363,5181,5347,5553,5438,5176,63942
Andhra Pradesh,2010,Rail-Road Accidents,55,43,177,201,79,54,40,41,43,177,201,79,1190
Andhra Pradesh,2010,Other Railway Accidents,50,104,47,165,159,157,106,85,104,47,165,159,1348
Andhra Pradesh,2011,Road Accidents,3577,4958,4494,5897,5420,5716,6418,4586,4958,4494,5897,5420,61835
Andhra Pradesh,2011,Rail-Road Accidents,17,48,178,196,92,70,53,21,48,178,196,92,1189
Andhra Pradesh,2011,Other Railway Accidents,190,180,162,140,141,138,211,200,180,162,140,141,1985
Andhra Pradesh,2012,Road Accidents,3026,3795,4413,5413,4978,5616,6877,5226,3795,4413,5413,4978,57943
Andhra Pradesh,2012,Rail-Road Accidents,0,0,0,0,1,0,2,0,0,0,0,1,4
Andhra Pradesh,2012,Other Railway Accidents,292,390,485,406,250,293,327,249,390,485,406,250,4223
Arunachal Pradesh,2001,Road Accidents,9,24,21,46,31,45,36,24,24,21,46,31,358
Arunachal Pradesh,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Road Accidents,8,22,32,46,40,36,38,13,22,32,46,40,375
Arunachal Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
